track_id,name,composer,album_id,media_type_id,genre_id,milliseconds,bytes,unit_price
363,Nene 2001,,32,1,10,284969,9694508,0.99
364,Rosas De Ouro 2001,,32,1,10,284342,9721084,0.99
365,Mocidade Alegre 2001,,32,1,10,282488,9599937,0.99
366,Camisa Verde 2001,,32,1,10,283454,9633755,0.99
367,Leandro De Itaquera 2001,,32,1,10,274808,9451845,0.99
368,Tucuruvi 2001,,32,1,10,287921,9883335,0.99
369,Aguia De Ouro 2001,,32,1,10,284160,9698729,0.99
370,Ipiranga 2001,,32,1,10,248293,8522591,0.99
371,Morro Da Casa Verde 2001,,32,1,10,284708,9718778,0.99
372,Perola Negra 2001,,32,1,10,281626,9619196,0.99
373,Sao Lucas 2001,,32,1,10,296254,10020122,0.99
374,Guanabara,Marcos Valle,33,1,7,247614,8499591,0.99
375,Mas Que Nada,Jorge Ben,33,1,7,248398,8255254,0.99
377,A Paz,Donato/Gilberto Gil,33,1,7,263183,8619173,0.99
378,Wave (Vou te Contar),Antonio Carlos Jobim,33,1,7,271647,9057557,0.99
380,Samba da Bençaco,Baden Powell/Vinicius de Moraes,33,1,7,282200,9440676,0.99
381,Pode Parar,Jorge Vercilo/Jota Maranhao,33,1,7,179408,6046678,0.99
382,Menino do Rio,Caetano Veloso,33,1,7,262713,8737489,0.99
383,Ando Meio Desligado,Caetano Veloso,33,1,7,195813,6547648,0.99
385,All Star,Nando Reis,33,1,7,176326,5891697,0.99
386,Menina Bonita,Alexandre Brazil/Pedro Luis/Rodrigo Cabelo,33,1,7,237087,7938246,0.99
390,Sambassim (dj patife remix),Alba Carvalho/Fernando Porto,33,1,7,213655,7243166,0.99
408,Free Speech For The Dumb,Molaney/Morris/Roberts/Wainwright,35,1,3,155428,5076048,0.99
409,It's Electric,Harris/Tatler,35,1,3,213995,6978601,0.99
410,Sabbra Cadabra,Black Sabbath,35,1,3,380342,12418147,0.99
411,Turn The Page,Seger,35,1,3,366524,11946327,0.99
412,Die Die My Darling,Danzig,35,1,3,149315,4867667,0.99
413,Loverman,Cave,35,1,3,472764,15446975,0.99
414,Mercyful Fate,Diamond/Shermann,35,1,3,671712,21942829,0.99
415,Astronomy,A.Bouchard/J.Bouchard/S.Pearlman,35,1,3,397531,13065612,0.99
416,Whiskey In The Jar,Traditional,35,1,3,305005,9943129,0.99
417,Tuesday's Gone,Collins/Van Zandt,35,1,3,545750,17900787,0.99
418,The More I See,Molaney/Morris/Roberts/Wainwright,35,1,3,287973,9378873,0.99
419,A Kind Of Magic,Roger Taylor,36,1,1,262608,8689618,0.99
420,Under Pressure,Queen & David Bowie,36,1,1,236617,7739042,0.99
421,Radio GA GA,Roger Taylor,36,1,1,343745,11358573,0.99
422,I Want It All,Queen,36,1,1,241684,7876564,0.99
423,I Want To Break Free,John Deacon,36,1,1,259108,8552861,0.99
424,Innuendo,Queen,36,1,1,387761,12664591,0.99
425,It's A Hard Life,Freddie Mercury,36,1,1,249417,8112242,0.99
426,Breakthru,Queen,36,1,1,249234,8150479,0.99
427,Who Wants To Live Forever,Brian May,36,1,1,297691,9577577,0.99
428,Headlong,Queen,36,1,1,273057,8921404,0.99
429,The Miracle,Queen,36,1,1,294974,9671923,0.99
430,I'm Going Slightly Mad,Queen,36,1,1,248032,8192339,0.99
